Destino del reclamo,Quién lo resolvió,Tipo de reclamo,Fecha del reclamo,Estado del reclamo
SISTEMAS,soporte nivel 1,PROBLEMA DE ACCESO,2024-06-06,  Pendiente  
  S0p0rte técnic0  ,soporte nivel 1,Problema de acceso,2024-06-07,EN PROCESO
SOPORTE TÉCNICO,SOPORTE NIVEL 1,Solicitud de equipo,2024/06/08,
infraestructura,maría lópez,  Problema de acceso  ,,  En proceso  
Recursos humanos,help desk,PROBLEMA DE ACCESO,2024-06-10,Pendiente
sistemas,MARÍA LÓPEZ,Problema de acceso,2024/06/11,Pendiente
  Infraestructura  ,SOPORTE NIVEL 1,SOLICITUD DE EQUIPO,2024-06-12,  Cerrado  
SOPORTE TÉCNICO,María López,solicitud de equipo,2024/06/13,PENDIENTE
RECURSOS HUMANOS,  María López  ,ACTUALIZACIÓN DE SOFTWARE,2024/06/14,CERRADO
  sistemas  ,  MARÍA LÓPEZ  ,problema de acceso,2024-06-15,Pendiente
Recursos humanos,  administrad0r ti  ,Problema de acceso,2024-06-16,EN PROCESO
  INFRAESTRUCTURA  ,Help Desk,Problema de acceso,2024-06-17,Pendiente
recursos humanos,SOPORTE NIVEL 1,  Consulta general  ,2024-06-18,en proceso
RECURSOS HUMANOS,Help Desk,CONSULTA GENERAL,2024-06-19,En proceso
Sistemas,HELP DESK,  SOLICITUD DE EQUIPO  ,2024-06-20,Resuelto
Sistemas,maría lópez,Actualización de software,2024-06-21,EN PROCESO
INFRAESTRUCTURA,help desk,Solicitud de equipo,,  Cerrado  
SOPORTE TÉCNICO,  MARÍA LÓPEZ  ,Consulta general,24-06-23,resuelto
Soporte técnico,Help Desk,PROBLEMA DE ACCESO,2024/06/24,Pendiente
  Soporte técnico  ,María López,actualización de software,2024-06-25,Resuelt0
Soporte técnico,,,2024-06-26,RESUELTO
recursos humanos,Soporte Nivel 1,Error de sistema,2024-06-27,EN PROCESO
Finanzas,Help Desk,  Consulta general  ,2024-06-28,PENDIENTE
FINANZAS,help desk,ACTUALIZACIÓN DE SOFTWARE,2024-06-29,  pendiente  
Infraestructura,Help Desk,Problema de acceso,2024-06-30,En proceso
sistemas,juan pérez,Problema de acceso,2024/07/01,pendiente
RECURSOS HUMANOS,MARÍA LÓPEZ,,2024-07-02,en proceso
  Finanzas  ,maría lópez,Error de sistema,2024-07-03,PENDIENTE
  Soporte técnico  ,juan pérez,ERROR DE SISTEMA,2024-07-04,Resuelto
SOPORTE TÉCNICO,Juan Pérez,  PROBLEMA DE ACCESO  ,,Pendiente
Sistemas,Juan Pérez,  Actualización de software  ,2024-07-06,PENDIENTE
finanzas,María López,  Problema de acceso  ,2024-07-07,Pendiente
Recursos humanos,HELP DESK,Consulta general,24-07-08,RESUELTO
Infraestructura,help desk,Consulta general,,pendiente
Recursos humanos,Help Desk,Actualización de software,2024-07-10,PENDIENTE
Sistemas,soporte nivel 1,Problema de acceso,2024-07-11,Cerrado
soporte técnico,Soporte Nivel 1,actualización de software,2024-07-12,Pendiente
soporte técnico,  help desk  ,Consulta general,2024-07-13,Pendiente
sistemas,  Juan Pérez  ,,2024-07-14,Resuelto
finanzas,  maría lópez  ,Problema de acceso,24-07-15,Pendiente
infraestructura,maría lópez,Problema de acceso,,Pendiente
  Sistemas  ,  Soporte Nivel 1  ,Error de sistema,2024-07-17,CERRADO
Recursos humanos,JUAN PÉREZ,  SOLICITUD DE EQUIPO  ,2024-07-18,Cerrado
  Recursos humanos  ,Administrador TI,PROBLEMA DE ACCESO,2024-07-19,Pendiente
Sistemas,María López,solicitud de equipo,2024-07-20,EN PROCESO
,MARÍA LÓPEZ,SOLICITUD DE EQUIPO,2024-07-21,  PENDIENTE  
RECURSOS HUMANOS,HELP DESK,CONSULTA GENERAL,2024/07/22,Cerrad0
Sistemas,Juan Pérez,  Error de sistema  ,2024-07-23,Cerrado
  Finanzas  ,ADMINISTRADOR TI,error de sistema,2024/07/24,En pr0ces0
infraestructura,JUAN PÉREZ,CONSULTA GENERAL,2024-07-25,En pr0ces0
Finanzas,Juan Pérez,CONSULTA GENERAL,2024-07-26,
  Finanzas  ,Soporte Nivel 1,PROBLEMA DE ACCESO,,Cerrado
Soporte técnico,  Administrador TI  ,  consulta general  ,2024-07-28,En proceso
,Soporte Nivel 1,Err0r de sistema,2024-07-29,  PENDIENTE  
SOPORTE TÉCNICO,  Administrador TI  ,Consulta general,2024/07/30,  RESUELTO  
finanzas,administrador ti,  Error de sistema  ,2024-07-31,PENDIENTE
finanzas,soporte nivel 1,solicitud de equipo,,en proceso
  Soporte técnico  ,,PROBLEMA DE ACCESO,2024-08-02,  Pendiente  
Sistemas,Juan Pérez,Error de sistema,2024-08-03,EN PROCESO
RECURSOS HUMANOS,,  error de sistema  ,2024-08-04,Resuelt0
Soporte técnico,ADMINISTRADOR TI,actualización de software,2024-08-05,pendiente
Finanzas,  SOPORTE NIVEL 1  ,consulta general,2024/08/06,en proceso
Soporte técnico,Juan Pérez,  Actualización de software  ,2024-08-07,
SOPORTE TÉCNICO,Administrador TI,,2024-08-08,  PENDIENTE  
  SISTEMAS  ,juan pérez,  Error de sistema  ,2024-08-09,CERRADO
Infraestructura,help desk,actualización de software,2024-08-10,CERRADO
Sistemas,Administrador TI,,2024/08/11,Cerrado
SOPORTE TÉCNICO,SOPORTE NIVEL 1,PROBLEMA DE ACCESO,2024-08-12,En proceso
INFRAESTRUCTURA,María López,consulta general,,En proceso
SISTEMAS,María López,  Problema de acceso  ,2024-08-14,Pendiente
FINANZAS,Juan Pérez,  Consulta general  ,24-08-15,Cerrado
infraestructura,maría lópez,Problema de acceso,24-08-16,  En proceso  
  soporte técnico  ,,Actualización de software,2024-08-17,En proceso
RECURSOS HUMANOS,SOPORTE NIVEL 1,Err0r de sistema,24-08-18,  En proceso  
Soporte técnico,Soporte Nivel 1,,2024-08-19,resuelto
Sistemas,Soporte Nivel 1,Error de sistema,2024/08/20,  CERRADO  
,  Soporte Nivel 1  ,  error de sistema  ,2024-08-21,
Infraestructura,Soporte Nivel 1,CONSULTA GENERAL,2024-08-22,
s0p0rte técnic0,Administrador TI,SOLICITUD DE EQUIPO,2024-08-23,Cerrado
Infraestructura,Juan Pérez,  Problema de acceso  ,2024-08-24,Resuelto
INFRAESTRUCTURA,soporte nivel 1,Actualización de software,2024-08-25,Pendiente
Infraestructura,María López,error de sistema,2024-08-26,Resuelto
Sistemas,María López,ACTUALIZACIÓN DE SOFTWARE,2024/08/27,  cerrado  
S0p0rte técnic0,soporte nivel 1,Error de sistema,2024-08-28,CERRADO
infraestructura,soporte nivel 1,Error de sistema,2024-08-29,  En pr0ces0  
Soporte técnico,SOPORTE NIVEL 1,SOLICITUD DE EQUIPO,2024-08-30,EN PROCESO
SISTEMAS,Administrador TI,consulta general,2024-08-31,RESUELTO
Sistemas,,CONSULTA GENERAL,2024-09-01,EN PROCESO
sistemas,JUAN PÉREZ,Actualización de software,2024-09-02,Cerrado
recursos humanos,Help Desk,ACTUALIZACIÓN DE SOFTWARE,2024-09-03,resuelto
  Recursos humanos  ,Help Desk,SOLICITUD DE EQUIPO,2024-09-04,resuelto
Soporte técnico,María López,SOLICITUD DE EQUIPO,2024-09-05,Resuelto
  Infraestructura  ,administrador ti,  problema de acceso  ,2024-09-06,En pr0ces0
sistemas,,  Consulta general  ,2024-09-07,PENDIENTE
  Sistemas  ,juan pérez,Error de sistema,2024-09-08,cerrado
  Infraestructura  ,Administrador TI,Actualización de software,2024-09-09,EN PROCESO
RECURSOS HUMANOS,help desk,  CONSULTA GENERAL  ,2024-09-10,  Resuelto  
SISTEMAS,,  Actualización de software  ,2024-09-11,  Cerrado  
Finanzas,JUAN PÉREZ,Actualización de software,2024/09/12,  PENDIENTE  
INFRAESTRUCTURA,Juan Pérez,actualización de software,2024-09-13,En proceso
RECURSOS HUMANOS,Help Desk,Error de sistema,2024-09-14,pendiente
soporte técnico,,Consulta general,2024/09/15,  PENDIENTE  
FINANZAS,Soporte Nivel 1,Solicitud de equipo,2024-09-16,Cerrado
finanzas,  MARÍA LÓPEZ  ,  ERROR DE SISTEMA  ,2024-09-17,Pendiente
SOPORTE TÉCNICO,  Administrador TI  ,PROBLEMA DE ACCESO,24-09-18,Resuelto
SOPORTE TÉCNICO,  help desk  ,  Consulta general  ,2024-09-19,  resuelto  
INFRAESTRUCTURA,  juan pérez  ,  error de sistema  ,2024-09-20,resuelto
finanzas,María López,CONSULTA GENERAL,2024-09-21,Cerrado
  SISTEMAS  ,Help Desk,Actualización de software,2024/09/22,Cerrado
Sistemas,juan pérez,PROBLEMA DE ACCESO,2024-09-23,PENDIENTE
Sistemas,Administrador TI,consulta general,2024-09-24,Pendiente
,HELP DESK,  PROBLEMA DE ACCESO  ,2024-09-25,PENDIENTE
sistemas,Juan Pérez,ACTUALIZACIÓN DE SOFTWARE,2024-09-26,resuelto
  infraestructura  ,juan pérez,,2024/09/27,Cerrad0
Soporte técnico,Help Desk,Consulta general,24-09-28,Cerrado
Finanzas,  MARÍA LÓPEZ  ,  ERROR DE SISTEMA  ,2024-09-29,En proceso
Recursos humanos,  Juan Pérez  ,problema de acceso,2024-09-30,Pendiente
Infraestructura,Juan Pérez,Actualización de software,2024-10-01,
finanzas,SOPORTE NIVEL 1,,2024-10-02,PENDIENTE
  Finanzas  ,Administrador TI,error de sistema,,  Resuelto  
RECURSOS HUMANOS,Juan Pérez,,2024-10-04,
  Soporte técnico  ,Soporte Nivel 1,error de sistema,24/10/05,Cerrado
  Infraestructura  ,HELP DESK,  Problema de acceso  ,2024-10-06,  PENDIENTE  
  INFRAESTRUCTURA  ,  Help Desk  ,Actualización de software,2024-10-07,
Infraestructura,Juan Pérez,  PROBLEMA DE ACCESO  ,2024-10-08,  Cerrado  
Recursos humanos,María López,Consulta general,2024-10-09,  Cerrado  
sistemas,Juan Pérez,Problema de acceso,24/10/10,  RESUELTO  
sistemas,JUAN PÉREZ,consulta general,2024-10-11,CERRADO
Sistemas,juan pérez,PROBLEMA DE ACCESO,24-10-12,Cerrado
RECURSOS HUMANOS,HELP DESK,ERROR DE SISTEMA,24-10-13,  RESUELTO  
Recursos humanos,Soporte Nivel 1,SOLICITUD DE EQUIPO,2024-10-14,  cerrad0  
Finanzas,Soporte Nivel 1,consulta general,24-10-15,Resuelt0
Soporte técnico,ADMINISTRADOR TI,ACTUALIZACIÓN DE SOFTWARE,2024-10-16,Pendiente
Sistemas,HELP DESK,error de sistema,2024-10-17,  RESUELTO  
recursos humanos,Administrador TI,  Actualización de software  ,2024-10-18,EN PROCESO
,S0p0rte Nivel 1,solicitud de equipo,2024-10-19,Pendiente
INFRAESTRUCTURA,,  Solicitud de equipo  ,2024-10-20,  CERRADO  
SISTEMAS,SOPORTE NIVEL 1,SOLICITUD DE EQUIPO,2024-10-21,  Cerrado  
RECURSOS HUMANOS,Juan Pérez,ACTUALIZACIÓN DE SOFTWARE,2024-10-22,CERRADO
  recursos humanos  ,SOPORTE NIVEL 1,Actualización de software,2024-10-23,Resuelto
Infraestructura,Help Desk,PROBLEMA DE ACCESO,2024-10-24,EN PROCESO
SISTEMAS,  MARÍA LÓPEZ  ,Error de sistema,2024-10-25,en proceso
FINANZAS,Soporte Nivel 1,Problema de acceso,2024-10-26,RESUELTO
S0p0rte técnic0,HELP DESK,Consulta general,2024-10-27,  En pr0ces0  
FINANZAS,  María López  ,,2024-10-28,EN PROCESO
Recursos humanos,soporte nivel 1,CONSULTA GENERAL,2024/10/29,en pr0ces0
recursos humanos,ADMINISTRADOR TI,,2024-10-30,
SISTEMAS,Soporte Nivel 1,  Problema de acceso  ,,Pendiente
Recursos humanos,  soporte nivel 1  ,  Solicitud de equipo  ,2024-11-01,resuelto
FINANZAS,MARÍA LÓPEZ,SOLICITUD DE EQUIPO,2024-11-02,Cerrado
  SOPORTE TÉCNICO  ,MARÍA LÓPEZ,C0nsulta general,2024-11-03,  CERRADO  
Recursos humanos,Administrador TI,Problema de acceso,2024/11/04,  Pendiente  
Recursos humanos,  SOPORTE NIVEL 1  ,Actualización de software,2024-11-05,  cerrado  
SISTEMAS,María López,  Solicitud de equipo  ,2024-11-06,Resuelto
INFRAESTRUCTURA,Administrador TI,SOLICITUD DE EQUIPO,2024/11/07,  Resuelto  
Sistemas,  Help Desk  ,  Problema de acceso  ,2024-11-08,resuelto
Finanzas,Administrador TI,solicitud de equipo,2024-11-09,Resuelto
,Help Desk,consulta general,2024-11-10,  En proceso  
INFRAESTRUCTURA,Administrador TI,Solicitud de equipo,2024-11-11,Pendiente
sistemas,Help Desk,SOLICITUD DE EQUIPO,24-11-12,  RESUELTO  
Soporte técnico,  SOPORTE NIVEL 1  ,  ERROR DE SISTEMA  ,2024-11-13,PENDIENTE
  Finanzas  ,  ADMINISTRADOR TI  ,PROBLEMA DE ACCESO,2024-11-14,En proceso
  Recursos humanos  ,Help Desk,Consulta general,2024-11-15,Resuelto
SOPORTE TÉCNICO,  Juan Pérez  ,Problema de acceso,,resuelto
  Finanzas  ,  HELP DESK  ,ERROR DE SISTEMA,,PENDIENTE
  Soporte técnico  ,  Juan Pérez  ,Consulta general,2024-11-18,  PENDIENTE  
RECURSOS HUMANOS,María López,Consulta general,2024-11-19,RESUELTO
soporte técnico,administrador ti,  error de sistema  ,,  PENDIENTE  
RECURSOS HUMANOS,Help Desk,Actualización de software,2024-11-21,EN PROCESO
Finanzas,Juan Pérez,  solicitud de equipo  ,2024-11-22,Pendiente
Infraestructura,Juan Pérez,  ERROR DE SISTEMA  ,2024-11-23,pendiente
SOPORTE TÉCNICO,Juan Pérez,actualización de software,2024/11/24,  RESUELTO  
  Soporte técnico  ,JUAN PÉREZ,  C0nsulta general  ,2024-11-25,  en proceso  
Recursos humanos,  Soporte Nivel 1  ,  ACTUALIZACIÓN DE SOFTWARE  ,2024-11-26,Resuelto
SOPORTE TÉCNICO,  Soporte Nivel 1  ,Consulta general,2024-11-27,CERRADO
,JUAN PÉREZ,ACTUALIZACIÓN DE SOFTWARE,2024-11-28,EN PROCESO
INFRAESTRUCTURA,  help desk  ,Actualización de software,2024-11-29,En proceso
SOPORTE TÉCNICO,María López,SOLICITUD DE EQUIPO,2024-11-30,RESUELTO
Finanzas,JUAN PÉREZ,Error de sistema,2024/12/01,Cerrado
Infraestructura,JUAN PÉREZ,Solicitud de equipo,2024-12-02,RESUELTO
Recursos humanos,MARÍA LÓPEZ,solicitud de equipo,24-12-03,EN PROCESO
finanzas,administrador ti,PROBLEMA DE ACCESO,2024-12-04,  RESUELTO  
Recursos humanos,  help desk  ,Consulta general,24-12-05,En proceso
Recursos humanos,Soporte Nivel 1,Consulta general,2024-12-06,en proceso
RECURSOS HUMANOS,maría lópez,ACTUALIZACIÓN DE SOFTWARE,2024-12-07,Resuelt0
  Infraestructura  ,  MARÍA LÓPEZ  ,Solicitud de equipo,2024-12-08,Resuelto
,Help Desk,ERROR DE SISTEMA,,EN PROCESO
Finanzas,ADMINISTRADOR TI,  Consulta general  ,2024-12-10,Pendiente
,María López,Actualización de software,2024-12-11,Cerrado
